District,Date,TAC
Birbhum,30-05-2020,582
Purulia,30-05-2020,649
Bankura,30-05-2020,2879
Jhargram,30-05-2020,1357
Paschim Medinipur,30-05-2020,3961
Purba Medinipur,30-05-2020,4024
Purba Bardhaman,30-05-2020,2480
Paschim Bardhaman,30-05-2020,4410
Howrah,30-05-2020,6971
Hooghly,30-05-2020,5323
North 24 Parganas,30-05-2020,19343
South 24 Parganas,30-05-2020,7266
Kolkata,30-05-2020,13322
Alipurduar,30-04-2020,465
Coochbehar,30-04-2020,1005
Darjeeling,30-04-2020,2554
Kalimpong,30-04-2020,305
Jalpaiguri,30-04-2020,1361
Uttar Dinajpur,30-04-2020,1725
Dakshin Dinajpur,30-04-2020,882
Malda,30-04-2020,4080
Murshidabad,30-04-2020,3604
Nadia,30-04-2020,4466
Birbhum,30-04-2020,4895
Purulia,30-04-2020,3225
Bankura,30-04-2020,1895
Jhargram,30-04-2020,424
Paschim Medinipur,30-04-2020,1439
Purba Medinipur,30-04-2020,3458
Purba Bardhaman,30-04-2020,3566
Paschim Bardhaman,30-04-2020,6447
Howrah,30-04-2020,6551
Hooghly,30-04-2020,5559
North 24 Parganas,30-04-2020,22494
South 24 Parganas,30-04-2020,7307
Kolkata,30-04-2020,25927
